GeoID,Years,GeoType,TotalPop,PctRural,PctAge65plus,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns,N_BINGE,N_CSMOKING,N_LPA,N_OBESITY,N_CERVICAL,N_MAMMOUSE,N_COLON_SCREEN,N_COREM,N_COREW,N_CHECKUP,RPL_EJI,RPL_SVI
A9145za,05yrs,Zone,57823,0,27.22172895,11.71,7.22,1.93,1.35,7.2,12.49,7.53,28.45,8.35,9.61,14.78048182,12.10689172,24.62646352,30.43227608,85.25792678,72.70496515,70.71292565,42.29110907,34.67284645,74.65326427,0.3826,0.3691
A9145za,10yrs,Zone,57823,0,27.22172895,11.71,7.22,1.93,1.35,7.2,12.49,7.53,28.45,8.35,9.61,14.78048182,12.10689172,24.62646352,30.43227608,85.25792678,72.70496515,70.71292565,42.29110907,34.67284645,74.65326427,0.3826,0.3691
A9146za,01yr,Zone,53035,32.55,13.04264075,56.03,26.08,25.43,0.88,13.89,12.05,26.78,11.59,20.71,16.82,16.87698501,22.34363156,37.7090544,40.59371924,78.63651928,76.22833002,62.27466956,36.43677194,26.48139593,73.16761007,0.745,0.8523
A9146za,05yrs,Zone,53035,32.55,13.04264075,56.03,26.08,25.43,0.88,13.89,12.05,26.78,11.59,20.71,16.82,16.87698501,22.34363156,37.7090544,40.59371924,78.63651928,76.22833002,62.27466956,36.43677194,26.48139593,73.16761007,0.745,0.8523
A9146za,10yrs,Zone,53035,32.55,13.04264075,56.03,26.08,25.43,0.88,13.89,12.05,26.78,11.59,20.71,16.82,16.87698501,22.34363156,37.7090544,40.59371924,78.63651928,76.22833002,62.27466956,36.43677194,26.48139593,73.16761007,0.745,0.8523
A9147za,01yr,Zone,58186,0,15.12131093,59.05,19.68,30.18,6.91,29.87,6.69,12.08,29.07,8.09,12.64,16.28921906,12.65161895,24.1542261,28.01462895,85.00247654,77.35311759,69.93189943,37.36961468,30.98381741,77.51297735,0.6846,0.6174
A9147za,05yrs,Zone,58186,0,15.12131093,59.05,19.68,30.18,6.91,29.87,6.69,12.08,29.07,8.09,12.64,16.28921906,12.65161895,24.1542261,28.01462895,85.00247654,77.35311759,69.93189943,37.36961468,30.98381741,77.51297735,0.6846,0.6174
A9147za,10yrs,Zone,58186,0,15.12131093,59.05,19.68,30.18,6.91,29.87,6.69,12.08,29.07,8.09,12.64,16.28921906,12.65161895,24.1542261,28.01462895,85.00247654,77.35311759,69.93189943,37.36961468,30.98381741,77.51297735,0.6846,0.6174
A9148za,01yr,Zone,57604,0.61,30.35829414,11.5,6.54,2.7,1.17,6.4,14.6,10.78,18.16,8.33,6.5,13.68548017,13.68511388,28.33550448,31.26578363,83.87656239,71.43123741,69.74779529,40.02132144,32.47036317,75.46445212,0.5369,0.3825
A9148za,05yrs,Zone,57604,0.61,30.35829414,11.5,6.54,2.7,1.17,6.4,14.6,10.78,18.16,8.33,6.5,13.68548017,13.68511388,28.33550448,31.26578363,83.87656239,71.43123741,69.74779529,40.02132144,32.47036317,75.46445212,0.5369,0.3825
A9148za,10yrs,Zone,57604,0.61,30.35829414,11.5,6.54,2.7,1.17,6.4,14.6,10.78,18.16,8.33,6.5,13.68548017,13.68511388,28.33550448,31.26578363,83.87656239,71.43123741,69.74779529,40.02132144,32.47036317,75.46445212,0.5369,0.3825
B0118za,01yr,Zone,97265,17.45,25.83611821,13.1,6.22,4.36,0.87,5.58,10.63,10.77,29.38,10.39,8.79,16.63003547,15.04951524,24.69600576,32.4502596,81.69512569,76.05299028,72.55867578,48.96026011,40.69495708,77.95297383,0.6711,0.5973
B0118za,05yrs,Zone,97265,17.45,25.83611821,13.1,6.22,4.36,0.87,5.58,10.63,10.77,29.38,10.39,8.79,16.63003547,15.04951524,24.69600576,32.4502596,81.69512569,76.05299028,72.55867578,48.96026011,40.69495708,77.95297383,0.6711,0.5973
B0118za,10yrs,Zone,97265,17.45,25.83611821,13.1,6.22,4.36,0.87,5.58,10.63,10.77,29.38,10.39,8.79,16.63003547,15.04951524,24.69600576,32.4502596,81.69512569,76.05299028,72.55867578,48.96026011,40.69495708,77.95297383,0.6711,0.5973
B0146za,01yr,Zone,66083,45.3,18.31419908,23.22,6.82,13.53,0.84,5.24,13.26,14.14,19.9,13.47,9.71,16.25296218,17.73163597,29.58335578,36.06304345,82.17825916,74.39782244,68.23644508,47.14223779,31.02699181,75.89984111,0.8054,0.7315
B0146za,05yrs,Zone,66083,45.3,18.31419908,23.22,6.82,13.53,0.84,5.24,13.26,14.14,19.9,13.47,9.71,16.25296218,17.73163597,29.58335578,36.06304345,82.17825916,74.39782244,68.23644508,47.14223779,31.02699181,75.89984111,0.8054,0.7315
B0146za,10yrs,Zone,66083,45.3,18.31419908,23.22,6.82,13.53,0.84,5.24,13.26,14.14,19.9,13.47,9.71,16.25296218,17.73163597,29.58335578,36.06304345,82.17825916,74.39782244,68.23644508,47.14223779,31.02699181,75.89984111,0.8054,0.7315
